№,Название,Адрес,Категория,Рейтинг,Отзывы
1,Evidence Clinic,"Кабанбай батыр проспект, 11/2",частная клиника,5,2930
2,"One Dent, стоматологическая клиника","проспект Туран, 22/1",стоматология,5,333
3,"Amangeldy Clinic, центр педиатрии и семейного здоровья","Керей, Жанибек хандар улица, 22/1",стоматология,5,225
4,Prouve Beauty Club,"проспект Туран, 39",косметология,5,127
5,Kedma Luxury Spa,"Кабанбай батыр проспект, 28",косметология,4.9,8204
6,Opatra London,"улица Кенесары, 51",косметология,4.9,5544
7,"Ultraline, медицинский центр","улица Санжара Асфендиярова, 3а",стоматология,4.9,4843
8,"Darmed, клиника женского здоровья","проспект Мангилик Ел, 40а",частная клиника,4.9,3499
9,"Darmed, клиника женского здоровья","улица Алихан Бокейхан, 8",частная клиника,4.9,2417
10,"Pallada, клиника","улица Сагадат Нурмагамбетов, 19",косметология,4.9,1411
11,"Doctor Dent, стоматологическая клиника","улица Туркестан, 8/2",стоматология,4.9,1337
12,TM Barbershop,"проспект Мангилик Ел, 28",салон красоты,4.9,1210
13,"STARMOON, салон красоты","проспект Абылай хана, 54а",салон красоты,4.9,1124
14,"One Dent, стоматологическая клиника","проспект Женис, 16",стоматология,4.9,932
15,"Darmed, клиника женского здоровья","проспект Тауелсиздик, 56/2",частная клиника,4.9,883
16,Satti Clinic,"улица Габидена Мустафина, 21",стоматология,4.9,858
17,"Аяла, медицинский центр","улица Туркестан, 28/2",стоматология,4.9,791
18,"Nocktiki, студия креативного маникюра","улица Сыганак, 64/1",салон красоты,4.9,772
19,"Рахат, стоматологические клиники","Амангельды Иманова улица, 17",стоматология,4.9,745
20,"Baby Smile, детская стоматология","Амангельды Иманова улица, 16",стоматология,4.9,723
21,"Doctor Dent Junior, детская стоматология","улица Туркестан, 8",стоматология,4.9,717
22,"Sandra, салон красоты","проспект Мангилик Ел, 41/3",косметология,4.9,715
23,"One Dent, стоматологическая клиника","проспект Мангилик Ел, 28",стоматология,4.9,697
24,"Chocolate Beauty Salon, салон красоты","Кабанбай батыр проспект, 9/2",салон красоты,4.9,676
25,"Diana clinic, медицинский центр","проспект Ракымжан Кошкарбаев, 41",частная клиника,4.9,658
26,"Sapa Dent, семейная стоматология","Кабанбай батыр проспект, 58Б корпус 3",стоматология,4.9,654
27,Bas dent,"проспект Мангилик Ел, 26",стоматология,4.9,604
28,"Tulip Medicine, клиника красоты и омоложения","улица Александр Бараев, 21",косметология,4.9,578
29,"Клиника Рахат, современный многопрофильный медицинский центр","улица Беимбет Майлин, 18",частная клиника,4.9,511
30,Eleven Clinic,"проспект Мангилик Ел, 55а",косметология,4.9,487
31,"IVI clinic, многопрофильный медицинский центр","проспект Мангилик Ел, 26а",частная клиника,4.9,467
32,"Colibri, клиника здоровья и эстетической стоматологии","улица Достык, 4",стоматология,4.9,466
33,"Doctor Dent, стоматологическая клиника","Кабанбай батыр проспект, 16",стоматология,4.9,454
34,"Sapa Dent, семейная стоматология","проспект Улы Дала, 31",стоматология,4.9,443
35,"Sevil Kids, стоматологическая клиника","улица Орынбор, 10/2",стоматология,4.9,372
36,"Sandra, салон красоты","улица Достык, 4",косметология,4.9,355
37,"Miss Brown, студия красоты и загара","проспект Мангилик Ел, 51/5",косметология,4.9,283
38,"Sunrise, салон красоты","проспект Улы Дала, 39",косметология,4.9,282
39,Astra Dent,"проспект Мангилик Ел, 36",стоматология,4.9,243
40,"La Vie beauty space, салон красоты","улица Акмешит, 1 блок 6",косметология,4.9,205
41,"Soldi Highlights, салон красоты","улица Санжара Асфендиярова, 2",салон красоты,4.9,107
